# path,class
../../_data/brodatz_dataset/comp1_train/T001_01.png,1
../../_data/brodatz_dataset/comp1_train/T001_02.png,1
../../_data/brodatz_dataset/comp1_train/T001_03.png,1
../../_data/brodatz_dataset/comp1_train/T001_04.png,1
../../_data/brodatz_dataset/comp1_train/T001_05.png,1
../../_data/brodatz_dataset/comp1_train/T010_01.png,2
../../_data/brodatz_dataset/comp1_train/T010_02.png,2
../../_data/brodatz_dataset/comp1_train/T010_03.png,2
../../_data/brodatz_dataset/comp1_train/T010_04.png,2
../../_data/brodatz_dataset/comp1_train/T010_05.png,2
../../_data/brodatz_dataset/comp1_train/T100_01.png,3
../../_data/brodatz_dataset/comp1_train/T100_02.png,3
../../_data/brodatz_dataset/comp1_train/T100_03.png,3
../../_data/brodatz_dataset/comp1_train/T100_04.png,3
../../_data/brodatz_dataset/comp1_train/T100_05.png,3
../../_data/brodatz_dataset/comp1_train/T101_01.png,4
../../_data/brodatz_dataset/comp1_train/T101_02.png,4
../../_data/brodatz_dataset/comp1_train/T101_03.png,4
../../_data/brodatz_dataset/comp1_train/T101_04.png,4
../../_data/brodatz_dataset/comp1_train/T101_05.png,4
../../_data/brodatz_dataset/comp1_train/T102_01.png,5
../../_data/brodatz_dataset/comp1_train/T102_02.png,5
../../_data/brodatz_dataset/comp1_train/T102_03.png,5
../../_data/brodatz_dataset/comp1_train/T102_04.png,5
../../_data/brodatz_dataset/comp1_train/T102_05.png,5
../../_data/brodatz_dataset/comp1_train/T103_01.png,6
../../_data/brodatz_dataset/comp1_train/T103_02.png,6
../../_data/brodatz_dataset/comp1_train/T103_03.png,6
../../_data/brodatz_dataset/comp1_train/T103_04.png,6
../../_data/brodatz_dataset/comp1_train/T103_05.png,6
../../_data/brodatz_dataset/comp1_train/T104_01.png,7
../../_data/brodatz_dataset/comp1_train/T104_02.png,7
../../_data/brodatz_dataset/comp1_train/T104_03.png,7
../../_data/brodatz_dataset/comp1_train/T104_04.png,7
../../_data/brodatz_dataset/comp1_train/T104_05.png,7
../../_data/brodatz_dataset/comp1_train/T105_01.png,8
../../_data/brodatz_dataset/comp1_train/T105_02.png,8
../../_data/brodatz_dataset/comp1_train/T105_03.png,8
../../_data/brodatz_dataset/comp1_train/T105_04.png,8
../../_data/brodatz_dataset/comp1_train/T105_05.png,8
../../_data/brodatz_dataset/comp1_train/T106_01.png,9
../../_data/brodatz_dataset/comp1_train/T106_02.png,9
../../_data/brodatz_dataset/comp1_train/T106_03.png,9
../../_data/brodatz_dataset/comp1_train/T106_04.png,9
../../_data/brodatz_dataset/comp1_train/T106_05.png,9
../../_data/brodatz_dataset/comp1_train/T107_01.png,10
../../_data/brodatz_dataset/comp1_train/T107_02.png,10
../../_data/brodatz_dataset/comp1_train/T107_03.png,10
../../_data/brodatz_dataset/comp1_train/T107_04.png,10
../../_data/brodatz_dataset/comp1_train/T107_05.png,10
../../_data/brodatz_dataset/comp1_train/T108_01.png,11
../../_data/brodatz_dataset/comp1_train/T108_02.png,11
../../_data/brodatz_dataset/comp1_train/T108_03.png,11
../../_data/brodatz_dataset/comp1_train/T108_04.png,11
../../_data/brodatz_dataset/comp1_train/T108_05.png,11
../../_data/brodatz_dataset/comp1_train/T109_01.png,12
../../_data/brodatz_dataset/comp1_train/T109_02.png,12
../../_data/brodatz_dataset/comp1_train/T109_03.png,12
../../_data/brodatz_dataset/comp1_train/T109_04.png,12
../../_data/brodatz_dataset/comp1_train/T109_05.png,12
../../_data/brodatz_dataset/comp1_train/T011_01.png,13
../../_data/brodatz_dataset/comp1_train/T011_02.png,13
../../_data/brodatz_dataset/comp1_train/T011_03.png,13
../../_data/brodatz_dataset/comp1_train/T011_04.png,13
../../_data/brodatz_dataset/comp1_train/T011_05.png,13
../../_data/brodatz_dataset/comp1_train/T110_01.png,14
../../_data/brodatz_dataset/comp1_train/T110_02.png,14
../../_data/brodatz_dataset/comp1_train/T110_03.png,14
../../_data/brodatz_dataset/comp1_train/T110_04.png,14
../../_data/brodatz_dataset/comp1_train/T110_05.png,14
../../_data/brodatz_dataset/comp1_train/T111_01.png,15
../../_data/brodatz_dataset/comp1_train/T111_02.png,15
../../_data/brodatz_dataset/comp1_train/T111_03.png,15
../../_data/brodatz_dataset/comp1_train/T111_04.png,15
../../_data/brodatz_dataset/comp1_train/T111_05.png,15
../../_data/brodatz_dataset/comp1_train/T112_01.png,16
../../_data/brodatz_dataset/comp1_train/T112_02.png,16
../../_data/brodatz_dataset/comp1_train/T112_03.png,16
../../_data/brodatz_dataset/comp1_train/T112_04.png,16
../../_data/brodatz_dataset/comp1_train/T112_05.png,16
../../_data/brodatz_dataset/comp1_train/T012_01.png,17
../../_data/brodatz_dataset/comp1_train/T012_02.png,17
../../_data/brodatz_dataset/comp1_train/T012_03.png,17
../../_data/brodatz_dataset/comp1_train/T012_04.png,17
../../_data/brodatz_dataset/comp1_train/T012_05.png,17
../../_data/brodatz_dataset/comp1_train/T013_01.png,18
../../_data/brodatz_dataset/comp1_train/T013_02.png,18
../../_data/brodatz_dataset/comp1_train/T013_03.png,18
../../_data/brodatz_dataset/comp1_train/T013_04.png,18
../../_data/brodatz_dataset/comp1_train/T013_05.png,18
../../_data/brodatz_dataset/comp1_train/T014_01.png,19
../../_data/brodatz_dataset/comp1_train/T014_02.png,19
../../_data/brodatz_dataset/comp1_train/T014_03.png,19
../../_data/brodatz_dataset/comp1_train/T014_04.png,19
../../_data/brodatz_dataset/comp1_train/T014_05.png,19
../../_data/brodatz_dataset/comp1_train/T015_01.png,20
../../_data/brodatz_dataset/comp1_train/T015_02.png,20
../../_data/brodatz_dataset/comp1_train/T015_03.png,20
../../_data/brodatz_dataset/comp1_train/T015_04.png,20
../../_data/brodatz_dataset/comp1_train/T015_05.png,20
../../_data/brodatz_dataset/comp1_train/T016_01.png,21
../../_data/brodatz_dataset/comp1_train/T016_02.png,21
../../_data/brodatz_dataset/comp1_train/T016_03.png,21
../../_data/brodatz_dataset/comp1_train/T016_04.png,21
../../_data/brodatz_dataset/comp1_train/T016_05.png,21
../../_data/brodatz_dataset/comp1_train/T017_01.png,22
../../_data/brodatz_dataset/comp1_train/T017_02.png,22
../../_data/brodatz_dataset/comp1_train/T017_03.png,22
../../_data/brodatz_dataset/comp1_train/T017_04.png,22
../../_data/brodatz_dataset/comp1_train/T017_05.png,22
../../_data/brodatz_dataset/comp1_train/T018_01.png,23
../../_data/brodatz_dataset/comp1_train/T018_02.png,23
../../_data/brodatz_dataset/comp1_train/T018_03.png,23
../../_data/brodatz_dataset/comp1_train/T018_04.png,23
../../_data/brodatz_dataset/comp1_train/T018_05.png,23
../../_data/brodatz_dataset/comp1_train/T019_01.png,24
../../_data/brodatz_dataset/comp1_train/T019_02.png,24
../../_data/brodatz_dataset/comp1_train/T019_03.png,24
../../_data/brodatz_dataset/comp1_train/T019_04.png,24
../../_data/brodatz_dataset/comp1_train/T019_05.png,24
../../_data/brodatz_dataset/comp1_train/T002_01.png,25
../../_data/brodatz_dataset/comp1_train/T002_02.png,25
../../_data/brodatz_dataset/comp1_train/T002_03.png,25
